300	-396988.248098844
304.4	-393662.385477271
308.8	-390336.522855688
313.2	-387010.660234105
317.6	-383684.797612522
322	-380358.934990949
326.4	-377033.072369375
330.8	-373707.209747792
335.2	-370381.347126209
339.6	-367055.484504626
344	-363729.621883053
348.4	-360403.75926148
352.8	-357077.896639897
357.2	-353752.034018314
361.6	-350426.171396731
366	-347100.308775158
370.4	-343774.446153585
374.8	-340448.583532002
379.2	-337122.720910419
383.6	-333796.858288846
388	-330470.995667263
392.4	-327145.133045689
396.8	-323819.270424106
401.2	-320493.407802523
405.6	-317167.54518095
410	-313841.682559377
414.4	-310515.819937794
418.8	-307189.957316211
423.2	-303864.094694638
427.6	-300538.232073055
432	-297212.369451482
436.4	-293886.506829899
440.8	-290560.644208316
445.2	-287234.781586743
449.6	-283908.91896516
454	-280583.056343587
458.4	-277257.193722004
462.8	-273931.331100421
467.2	-270605.468478847
471.6	-267279.605857264
476	-263953.743235691
480.4	-260627.880614108
484.8	-257302.017992525
489.2	-253976.155370952
493.6	-250650.292749369
498	-247324.430127796
502.4	-243998.567506213
506.8	-240672.70488465
511.2	-237346.842263067
515.6	-234020.979641474
520	-230695.117019901
524.4	-227369.254398318
528.8	-224043.391776745
533.2	-220717.529155171
537.6	-217391.666533578
542	-214065.803912005
546.4	-210739.941290422
550.8	-207414.078668859
555.2	-204088.216047276
559.6	-200762.353425683
564	-197436.49080411
568.4	-194110.628182537
572.8	-190784.765560964
577.2	-187458.902939381
581.6	-184133.040317798
586	-180807.177696215
590.4	-177481.315074642
594.8	-174155.452453069
599.2	-170829.589831486
603.6	-167503.727209903
608	-164177.864588319
612.4	-160852.001966756
616.8	-157526.139345173
621.2	-154200.27672359
625.6	-150874.414102007
630	-147548.551480424
634.4	-144222.688858861
638.8	-140896.826237278
643.2	-137570.963615695
647.6	-134245.100994112
652	-130919.238372549
656.4	-127593.375750966
660.8	-124267.513129383
665.2	-120941.6505078
669.6	-117615.787886217
674	-114289.925264653
678.4	-110964.06264307
682.8	-107638.200021487
687.2	-104312.337399904
691.6	-100986.474778331
696	-97660.6121567581
700.4	-94334.7495351751
704.8	-91008.886913592
709.2	-87683.024292009
713.6	-84357.1616704359
718	-81031.2990488628
722.4	-77705.4364272798
726.8	-74379.5738056967
731.2	-71053.7111841137
735.6	-67727.8485625306
740	-64401.9859409675
744.4	-61076.1233193845
748.8	-57750.2606978014
753.2	-54424.3980762283
757.6	-51098.5354546353
762	-47772.6728330722
766.4	-44446.8102114892
770.8	-41120.9475899061
775.2	-37795.084968333
779.6	-34469.22234674
784	-31143.3597251769
788.4	-27817.4971035939
792.8	-24491.6344820307
797.2	-21165.7718604377
801.6	-17839.9092388547
806	-14514.0466172816
810.4	-11188.1839956985
814.8	-7862.32137413542
819.2	-4536.45875254241
823.6	-1210.59613096933
828	2115.26649061372
832.4	5441.12911219677
836.8	8766.99173375989
841.2	12092.8543553529
845.6	15418.716976926
850	18744.579598509
854.4	22070.4422200821
858.8	25396.3048416552
863.2	28722.1674632482
867.6	32048.0300848213
872	35373.8927064043
876.4	38699.7553279774
880.8	42025.6179495505
885.2	45351.4805711336
889.6	48677.3431927166
894	52003.2058142997
898.4	55329.0684358727
902.8	58654.9310574558
907.2	61980.7936790289
911.6	65306.6563006119
916	68632.518922195
920.4	71958.3815437681
924.8	75284.2441653411
929.2	78610.1067869242
933.6	81935.9694085072
938	85261.8320300803
942.4	88587.6946516634
946.8	91913.5572732364
951.2	95239.4198948195
955.6	98565.2825164025
960	101891.145137976
964.4	105217.007759559
968.8	108542.870381132
973.2	111868.733002715
977.6	115194.595624298
982	118520.458245871
986.4	121846.320867444
990.8	125172.183489027
995.2	128498.04611061
999.6	131823.908732183
1004	135149.771353766
1008.4	138475.633975339
1012.8	141801.496596922
1017.2	145127.359218505
1021.6	148453.221840079
1026	151779.084461652
1030.4	155104.947083235
1034.8	158430.809704818
1039.2	161756.672326401
1043.6	165082.534947974
1048	168408.397569547
1052.4	171734.26019113
1056.8	175060.122812713
1061.2	178385.985434296
1065.6	181711.848055859
1070	185037.710677442
1074.4	188363.573299025
1078.8	191689.435920608
1083.2	195015.298542181
1087.6	198341.161163754
1092	201667.023785338
1096.4	204992.886406921
1100.8	208318.749028504
1105.2	211644.611650077
1109.6	214970.47427165
1114	218296.336893233
1118.4	221622.199514816
1122.8	224948.062136389
1127.2	228273.924757972
1131.6	231599.787379545
1136	234925.650001128
1140.4	238251.512622711
1144.8	241577.375244284
1149.2	244903.237865857
1153.6	248229.10048744
1158	251554.963109023
1162.4	254880.825730606
1166.8	258206.68835218
1171.2	261532.550973753
1175.6	264858.413595336
1180	268184.276216919
1184.4	271510.138838502
1188.8	274836.001460075
1193.2	278161.864081648
1197.6	281487.726703231
1202	284813.589324814
1206.4	288139.451946397
1210.8	291465.31456796
1215.2	294791.177189543
1219.6	298117.039811126
1224	301442.902432699
1228.4	304768.765054272
1232.8	308094.627675856
1237.2	311420.490297439
1241.6	314746.352919022
1246	318072.215540595
1250.4	321398.078162168
1254.8	324723.940783751
1259.2	328049.803405334
1263.6	331375.666026907
1268	334701.52864849
1272.4	338027.391270063
1276.8	341353.253891646
1281.2	344679.116513229
1285.6	348004.979134812
1290	351330.841756385
1294.4	354656.704377958
1298.8	357982.566999541
1303.2	361308.429621124
1307.6	364634.292242698
1312	367960.154864271
1316.4	371286.017485854
1320.8	374611.880107437
1325.2	377937.74272902
1329.6	381263.605350593
1334	384589.467972176
1338.4	387915.330593749
1342.8	391241.193215332
1347.2	394567.055836905
1351.6	397892.918458488
